src_ip,session,clean,unrated,suspicious,malicious
8.209.74.10,a000c0c2af9d,60,30,2,2
8.209.74.10,3a369e771bb1,60,30,2,2
8.218.0.152,d19d0386862c,58,30,1,1
8.218.0.152,fc0f1738a9f4,58,30,1,1
8.218.0.152,36399741d41b,58,30,1,1
8.218.0.152,0f981aadfc74,58,30,1,1
8.218.0.152,5b50085cdb26,58,30,1,1
8.218.0.152,a7cdc2265172,58,30,1,1
8.218.0.152,b7e7697e9a5f,58,30,1,1
8.218.0.152,b7a3e906535e,58,30,1,1
8.219.243.51,f94f90c3dc7c,56,29,2,4
8.219.243.51,bf20244590da,56,29,2,4
8.219.243.51,69135cd5d313,56,29,2,4
8.219.243.51,ad58f0847acb,56,29,2,4
8.219.243.51,a2450b949427,56,29,2,4
8.219.243.51,19d3a81bc14f,56,29,2,4
8.219.57.116,3e43bd311e2f,62,31,0,0
8.219.57.116,3d4d6c5da895,62,31,0,0
8.219.57.116,dc60ab0f1313,62,31,0,0
8.222.188.73,55fff5f413d7,56,29,2,4
8.222.188.73,caa7806a7f6e,56,29,2,4
8.222.188.73,3b5a775fbe62,56,29,2,4
8.222.190.110,1824774f7c7c,57,29,2,3
8.222.190.110,363c521b3b7f,57,29,2,3
80.68.7.50,a3fddc9c9a41,53,30,2,5
80.89.193.5,802bf69c0b18,54,30,3,3
80.89.193.5,955786a232d1,54,30,3,3
81.10.237.161,6e0099e4854d,55,31,2,3
81.174.27.81,cd548e7f7a2c,59,33,1,1
81.174.27.81,50de70f41bad,59,33,1,1
81.174.27.81,efa060644603,59,33,1,1
81.174.27.81,5fbc961fe964,59,33,1,1
81.174.27.81,3e94533c2ddb,59,33,1,1
81.211.72.167,4b53a809c339,52,30,2,6
81.211.72.167,349ad6dbdbb2,52,30,2,6
81.211.72.167,22d8e97d5f80,52,30,2,6
81.224.147.83,364265dafa01,57,31,1,1
81.224.147.83,08dc31e77993,57,31,1,1
